"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Bruger","Bruger","User","Benutzer","utilisateur","kullanıcı","usuario","utente",
"@Bruger...","Bruger...","User...","Benutzer ...","Utilisateur ...","Kullanıcı ...","Usuario ...","Utente ...",
"@Brugere","Brugere","users","Benutzer","utilisateurs","kullanıcılar","usuarios","utenti",
"@Brugernavn til SMTP serveren, hvis dette kræves.","Brugernavn til SMTP serveren, hvis dette kræves.","Username for the SMTP server, if required.","Benutzername für den SMTP-Server, falls erforderlich.","Nom du serveur SMTP, si nécessaire.","Gerekirse, SMTP sunucusu için kullanıcı adı.","Nombre de usuario para el servidor SMTP, si es necesario.","Nome utente per il server SMTP, se necessario.",
"@Brugernavn","Brugernavn","user name","Benutzername","nom d'utilisateur","kullanıcı adı","nombre de usuario","nome utente",
"@Budget ","Budget ","Budget ","Haushalt ","budget ","bütçe ","presupuesto ","bilancio ",
"@Budget","Budget","Budget","Haushalt","budget","bütçe","presupuesto","bilancio",
"@Budgetårets aktuelle ultimo beløb.","Budgetårets aktuelle ultimo beløb.","Budget year Current year-end amount.","Haushaltsjahr Aktuelle Jahresende Betrag.","année Budget Montant actuel de fin d'année.","Bütçe yılı Cari yıl sonu miktarı.","cantidad de fin de año actual ejercicio presupuestario.","esercizio di bilancio importo in corso di fine anno.",
"@Business to business! Afmærk her, hvis der skal anvendes b2b priser ved salg til denne kundegruppe.","Business to business! Afmærk her, hvis der skal anvendes b2b priser ved salg til denne kundegruppe.","Business to business! Mark here, if applicable B2B prices for sales to this customer group.","Business to Business! Mark hier ggf. B2B Verkaufspreise für diese Kundengruppe.","Business to business! Mark ici, si les prix B2B applicables pour les ventes à ce groupe de clients.","iş iş! Burada Mark, bu müşteri grubuna satış için geçerli B2B fiyatlarının ise.","Empresa a empresa! Marcos aquí, si los precios aplicables B2B para las ventas a este grupo de clientes.","Business to business! Mark qui, se i prezzi B2B applicabili per le vendite a questo gruppo di clienti.",
"@Business to business! Afmærk her, hvis der skal anvendes b2b priser ved salg til denne leverandørgruppe.","Business to business! Afmærk her, hvis der skal anvendes b2b priser ved salg til denne leverandørgruppe.","Business to business! Mark here, if applicable B2B prices to this supplier group.","Business to Business! Mark hier ggf. B2B Preise an Lieferanten Gruppe.","Business to business! Mark ici, si les prix B2B applicables à ce groupe de fournisseurs.","iş iş! Burada Mark, bu edenle grubuna uygulanabilir B2B fiyatlarının ise.","Empresa a empresa! Marcos aquí, si los precios B2B aplicables a este grupo de proveedores.","Business to business! Mark qui, se i prezzi del B2B applicabili a questo gruppo fornitore.",
"@By","By","Town/city","Stadt","ville","şehir","ciudad","città",
"@By...","By...","City:","Durch ...","Par ...","Tarafından ...","Por ...","Con ...",
"@Bynavn","Bynavn","City Name","Städtename","Nom Ville","Şehir Adı","Nombre de la ciudad","Nome Città",
"@Bynavn. firmaets hjemsted","Bynavn. firmaets hjemsted","City Name. company headquarters","Städtename. Firmensitz","Nom Ville. siège de la société","İl Adı. şirket merkezi","Nombre de la ciudad. sede de la empresa","Nome della città. sede dell'azienda",
"@CSS-demo","CSS-demo","CSS demo","CSS Demo","Démo du CSS","CSS demo","Demo CSS","CSS demo",
"@CSV-Export","CSV-Export","CSV Export","CSV-Export","CSV Export","CSV İhracat","exportación CSV","CSV Export",
"@CSV-eksport","CSV-eksport","CSV export","CSV-Export","CSV export","CSV ihracat","exportación de CSV","esportazione CSV",
"@CTRL Pil-taster","CTRL Pil-taster","CTRL Arrow keys","CTRL Pfeiltasten","CTRL touches fléchées","CTRL Ok tuşları","teclas CTRL Flecha","CTRL freccia",
"@CVR - Virksomheds ID","CVR - Virksomheds ID","CVR - Company ID","CVR - Unternehmens-ID","CVR - Société ID","CVR - Şirket Kimliği","CVR - ID de la empresa","CVR - Azienda ID",
"@CVR - Virksomheds ID. Tast CVR-nr. omsluttet af *, +, eller / for at importere data fra Erhvervsstyrelsen (Data leveres af CVR API)","CVR - Virksomheds ID. Tast CVR-nr. omsluttet af *, +, eller / for at importere data fra Erhvervsstyrelsen (Data leveres af CVR API)","CVR - Company ID. Key Reg. enclosed *, +, or / to import data from the Danish Business Authority (Data provided by CVR API)","CVR - Unternehmens-ID. Key Reg. eingeschlossen *, + oder /, um Daten von der dänischen Business Authority (Daten der CVR-API zur Verfügung gestellt) importieren","CVR - ID de l'entreprise. Key Reg. fermé *, + ou / pour importer des données de l'Autorité danoise des affaires (données fournies par l'API CVR)","CVR - Şirket kimliği. Anahtar Reg. kapalı *, +, ve / veya (CVR API'si tarafından sağlanan veriler) Danimarka İş Kurumunun veri almak","CVR - Identificación de la empresa. Reg clave. cerrado *, +, o / para importar datos de la Autoridad de negocios danés (Datos proporcionados por la API CVR)","CVR - ID Company. Reg Key. chiuso *, +, o / per importare dati da parte dell'Autorità d'affari danese (Dati forniti da CVR API)",
"@CVR","CVR","CVR","CVR","CVR","CVR","CVR","CVR",
"@Center justeret","Center justeret","Center adjusted","Zentrum angepasst","Centre ajusté","Merkezi ayarlandı","centro ajustado","centro regolata",
"@Colli:","Colli:","Colli:","Colli:","Colli:","Colli:","Colli:","Colli:",
"@Cpr-nr","Cpr-nr","CPR-nr","Persönliche Identifikationsnummer","numéro d'enregistrement personnel","Kişisel kayıt numarası","número de registro personal","numero di registrazione personale",
"@Cyan (lysblå)","Cyan (lysblå)","Cyan (light blue)","Cyan (hellblau)","Cyan (bleu clair)","Camgöbeği (açık mavi)","Cian (azul claro)","Ciano (azzurro)",
"@D/K","D/K","D / K","D / K","D / K","D / K","D / K","D / K",
"@D/K/F feltet benyttes i forbindelse med debitor- og kreditor posteringer.","D/K/F feltet benyttes i forbindelse med debitor- og kreditor posteringer.","D / K / F box used for customer and vendor transactions.","D / K / F-Box für Kunden- und Lieferantentransaktionen verwendet.","D / K / F boîte utilisée pour les transactions client et fournisseur.","müşteri ve satıcı işlemleri için kullanılan D / K / F kutu.","la casilla D / K / F se utiliza para las transacciones de los clientes y proveedores.","casella D / K / F utilizzato per le transazioni dei clienti e fornitori.",
"@DATA:","DATA:","DATA:","DATA:","DATA:","VERİ:","DATOS:","DATI:",
"@DEBITOR","DEBITOR","DEBTORS","DEBTORS","DEBITEURS","borçlular","DEUDORES","DEBITORI",
"@DEMO: Tabel med fastlåst kolonne-header og ""rulle-vindue","DEMO: Tabel med fastlåst kolonne-header og ""rulle-vindue","DEMO: Table with fixed column header and ""scroll window","DEMO: Tabelle mit festen Spaltenkopf und ""Scroll-Fenster","DEMO: Tableau avec en-tête de colonne fixe et ""fenêtre de défilement","DEMO: Sabit sütun başlığı ve ""kaydırma pencere ile Masa","DEMO: Vector con el encabezado de la columna fija y ""desplazamiento de ventana","DEMO: Tavolo con intestazione di colonna fissa e ""finestra di scorrimento",
"@DETALJER: Klik her for at ","DETALJER: Klik her for at ","DETAILS: Click here to ","DETAILS: Klicken Sie hier, um die ","DETAILS: Cliquez ici pour ","DETAYLAR: için buraya tıklayın ","DETALLES: Haga clic aquí para ","Dettagli: clicca qui per ",
"@DETALJER:  ').t","DETALJER:  ').t","DETAILS: ') .t","DETAILS: ') .T","DÉTAILS: ') .t","DETAYLAR: ') .t","DETALLES:","DETTAGLI: ') .T",
"@Dag:","Dag:","3. Day","Tag:","jour:","gün:","día:","giorno:",
"@Dansk","Dansk","Danish","Dänisch","danois","Danimarkalı","danés","danese",
"@Danske kroner","Danske kroner","Danish kroner","dänische Kronen","couronnes danoises","Danimarka kronu","coronas danesas","corone danesi",
"@Data import & eksport","Data import & eksport","Data import & export","Daten Import & Export","Importation de données et d'exportation","Veri ithalat ve ihracat","Los datos de importación y exportación","importazione e l'esportazione dei dati",
"@Database problem","Database problem","database problem","Datenbankproblem","problème de base de données","veritabanı sorunu","problema de base de datos","problema del database",
"@Database setup","Database setup","database setup","Datenbank-Setup","configuration de base de données","veritabanı Kur","configuración de base de datos","messa a punto di database",
"@Database tilkobling","Database tilkobling","database connection","Datenbankverbindung","connexion de base de données","veritabanı bağlantısı","la conexión de base de datos","connessione al database",
"@Databasen er installeret","Databasen er installeret","The database is installed","Die Datenbank wird installiert","La base de données est installé","Veritabanı yüklü","se instala la base de datos","Il database è installato",
"@Databasenavn","Databasenavn","database Name","Datenbank-Name","base de données Nom","veritabanı Adı","Nombre de base de datos","Nome del database",
"@Databaseserver","Databaseserver","database Server","Datenbank-Server","base de données du serveur","veritabanı Sunucu","la base de datos del servidor","Database Server",
"@Dato hvorfra og med (i foregående måned) til (dato i indeværende måned) provisionsberegning foretages","Dato hvorfra og med (i foregående måned) til (dato i indeværende måned) provisionsberegning foretages","Date from which and with (in the previous month) to (date of current month) commission calculation is performed","Datum, ab dem und mit (im Vormonat) bis (Datum des laufenden Monats) Provisionsberechnung wird durchgeführt,","Date à partir de laquelle et avec (le mois précédent) (date du mois en cours) calcul des commissions est effectuée","Tarih (önceki aya) hangi ile (cari ayın tarih) komisyon hesaplama yapılır","Fecha a partir de la cual y con (en el mes anterior) a (fecha de mes en curso) se realizó cálculo de comisiones","Data dalla quale e con (nel mese precedente) a (data di mese in corso) viene effettuato il calcolo della Commissione",
"@Dato slut","Dato slut","Date of final","Datum der endgültigen","Date de finale","Final Tarihi","Fecha de la última","Data di finale",
"@Dato start","Dato start","Date start","Datum Beginn","Date de début","tarihi başlangıç","fecha de inicio","data di inizio",
"@Dato","Dato","Date","Datum","date","tarih","fecha","data",
"@Dato...","Dato...","Date","Datum ...","Date de ...","Tarih ...","Fecha ...","Data ...",
"@Datoen hvor ordren indgik","Datoen hvor ordren indgik","The date when the order entered","Der Zeitpunkt, wenn die Bestellung eingegeben","La date à laquelle l'ordre est entré","Sipariş Girilen tarih","La fecha en que el orden de ejecución","La data in cui l'ordine è entrato",
"@Debet Kt. og Kredit Kt.-felterne er til kontonummeret på den konto, posteringen skal ske på.","Debet Kt. og Kredit Kt.-felterne er til kontonummeret på den konto, posteringen skal ske på.","Debit Kt. and Credit square handle fields are account number of the account, the transaction must be on.","Debit Kt. und Kredit quadratischen Griff Felder Kontonummer des Kontos sind, muss die Transaktion sein.","Débit Kt. et les champs de poignée carré de crédit sont le numéro de compte du compte, la transaction doit être activé.","Borç Kt. ve Kredi kare şeklinde bir tutamaç alanları hesabının hesap numarası olan, işlem olmalıdır.","Kt débito. y los campos de mango cuadrado de crédito son el número de cuenta de la cuenta, la transacción debe estar encendido.","Kt debito. e campi quadrati di credito manico sono numero di conto del conto, la transazione deve essere acceso.",
"@Debet Kt.","Debet Kt.","Debit Kt.","Debit Kt.","Débit Kt.","Borç Kt.","Kt débito.","Kt debito.",
"@Debet primosaldo","Debet primosaldo","Debit opening balance","Debit-Eröffnungsbilanz","solde d'ouverture de débit","Borç açılış bilançosu","saldo inicial de débito","saldo di apertura di debito",
"@Debet","Debet","Debit","Soll","débit","borç","débito","debito",
"@Debitor & Kreditor Grp.","Debitor & Kreditor Grp.","Debtor & Creditor Grp.","Debtor & Creditor Grp.","Débiteur et créancier Grp.","Borçlu ve Alacaklı Grp.","Deudor y acreedor Grp.","Debitore e creditore Grp.",
"@Debitor- & Kreditor-grupper:","Debitor- & Kreditor-grupper:","Debtor & Creditor groups:","Debtor & Creditor Gruppen:","Débiteurs et créanciers groupes:","Borçlu ve Alacaklı grupları:","Deudores y acreedores grupos:","Debitori e creditori gruppi:",
"@Debitor-rapporter:","Debitor-rapporter:","Debtor reports:","Debtor Berichte:","rapports débiteurs:","Borçlu raporları:","informes deudores:","rapporti debitori:",
"@Debitorer","Debitorer","debtors","Schuldner","débiteurs","borçlular","deudores","debitori",
"@Debitorgruppe","Debitorgruppe","debtor Group","Schuldner-Gruppe","débiteur Groupe","borçlu Grubu","Grupo deudor","Gruppo debitore",
"@Debitorgrupper","Debitorgrupper","debtor Groups","Schuldnergruppen","Groupes débiteurs","borçlu Grupları","Grupos deudores","Gruppi debitori",
"@Debitorkonti","Debitorkonti","debtor Accounts","Debitorenkonten","Comptes débiteurs","borçlu Hesapları","Las cuentas deudoras","Conti debitori",
"@Debitorliste","Debitorliste","debtor List","Schuldnerliste","Liste des débiteurs","borçlu listesi","Lista deudor","Lista debitore",
"@Debitorordrer","Debitorordrer","debtor Orders","Schuldner Bestellungen","débiteur commandes","borçlu Siparişleri","Pedidos deudores","ordini debitori",
"@Debitorrapport","Debitorrapport","debtor Report","Schuldner Bericht","Rapport débiteur","borçlu Raporu","Informe deudor","debitore Rapporto",
"@Definer selv debitor-rabatgrupper","Definer selv debitor-rabatgrupper","Define yourself debtor-off groups","Definieren Sie sich Schuldner-off-Gruppen","Définissez-vous des groupes débiteur-off","Kendinize borçlu-off gruplarını tanımlayın","Definirías grupos deudor-off","Definire stessi gruppi debitore-off",
"@Definer selv vare-rabatgrupper","Definer selv vare-rabatgrupper","Define yourself item discount groups","Definieren Sie selbst Artikel Rabattgruppen","Définissez-vous des groupes d'escompte d'articles","Kendinize öğe indirim grupları tanımlayabilirsiniz","Definirías grupos de descuento de artículos","Definire se stessi gruppi di articoli scontati",
"@Demonstration af output-moduler","Demonstration af output-moduler","Demonstration of output modules","Demonstration der Ausgangsmodule","Mise en évidence de modules de sortie","çıkış modülleri gösterilmesi","Demostración de los módulos de salida","Dimostrazione di moduli di uscita",
"@Den dato kursen er gældende fra","Den dato kursen er gældende fra","The date rates are valid from","Die aktuelle Preise sind gültig ab","Les taux de date sont valables à partir","tarih oranları kadar geçerli","Las tasas de fecha son válidos desde","Le tariffe sono valide dal data",
"@Den moms du skal betale til SKAT","Den moms du skal betale til SKAT","The VAT you have to pay to SKAT","Die Mehrwertsteuer müssen Sie SKAT zu zahlen","La TVA que vous devez payer pour SKAT","KDV Eğer SKAT'a ödemek zorunda","El IVA tiene que pagar para SKAT-","L'IVA si deve pagare per SKAT",
"@Den moms du skal have retur fra SKAT","Den moms du skal have retur fra SKAT","The VAT you need return from SKAT","Die Mehrwertsteuer Sie von SKAT zurückgeben müssen","La TVA dont vous avez besoin retour de SKAT","Eğer SKAT'tan dönmek gerek KDV","El IVA que necesita vuelta de SKAT-","L'IVA avete bisogno di ritorno da SKAT",
"@Den valuta som gruppen føres i","Den valuta som gruppen føres i","The currency that the group brought in","Die Währung, die die Gruppe gebracht","La monnaie que le groupe a en","grup getirdi para","La moneda que el grupo trajo","La valuta che il gruppo ha portato a",
"@Denne dialogbox er universal for: info-error-tip-warn-success beskeder. Du kan flytte den og ændre størrelse ved at trække i kanterne.","Denne dialogbox er universal for: info-error-tip-warn-success beskeder. Du kan flytte den og ændre størrelse ved at trække i kanterne.","This dialog box is universal for: info-error-tip-warn-success messages. You can move it and resize by dragging the edges.","Dieses Dialogfeld ist universell für: info-error-Spitze-warn-Erfolgsmeldungen. Sie können es verschieben und skalieren, indem die Ränder ziehen.","Cette boîte de dialogue est universel: messages info-error-tip-warn-succès. Vous pouvez déplacer et redimensionner en faisant glisser les bords.","info-hata-ucu-uyarmak-başarı mesajlar: Bu iletişim kutusu için evrenseldir. Bunu taşımak ve kenarlarını sürükleyerek yeniden boyutlandırabilirsiniz.","Este cuadro de diálogo es universal para: mensajes de error de información de punta advertir-éxito. Se puede mover y cambiar el tamaño arrastrando los bordes.","Questa finestra di dialogo è universale per: messaggi di info-error-punta-avvertire-successo. È possibile spostare e ridimensionare trascinando i bordi.",
"@Denne streng benyttes af systemet (javascript), når der åbnes et nyt vindue.","Denne streng benyttes af systemet (javascript), når der åbnes et nyt vindue.","This string is used by the system (javascript) when opening a new window.","Diese Zeichenkette wird durch das System (JavaScript) verwendet, wenn ein neues Fenster zu öffnen.","Cette chaîne est utilisée par le système (javascript) lors de l'ouverture d'une nouvelle fenêtre.","yeni bir pencere açarken Bu dize sistemi (javascript) tarafından kullanılır.","Esta cadena se utiliza por el sistema (javascript) al abrir una nueva ventana.","Questa stringa è usata dal sistema (javascript) quando si apre una nuova finestra.",
"@Densitet","Densitet","density","Dichte","densité","yoğunluk","densidad","densità",
"@Der er fuld understøttelse til at skifte sprog for program-fladen og i denne demo, kan der skiftes mellem dansk-engelsk-tysk-fransk-spansk-tyrkisk.","Der er fuld understøttelse til at skifte sprog for program-fladen og i denne demo, kan der skiftes mellem dansk-engelsk-tysk-fransk-spansk-tyrkisk.","There is full support for changing the language for program interface and in this demo, you can switch between Danish-English-German-French-Spanish-Turkish.","Es gibt volle Unterstützung für die Sprache für die Programmoberfläche verändert und in dieser Demo können Sie zwischen Dänisch-Englisch-Deutsch-Französisch-Spanisch-Türkisch.","Il y a plein appui pour changer la langue de l'interface du programme et dans cette démo, vous pouvez basculer entre les danois-anglais-allemand-français-espagnol-turc.","program arayüzü ve bu demo dili değiştirmek için tam destek var, Danimarka-İngilizce-Almanca-Fransızca-İspanyolca-Türkçe arasında geçiş yapabilirsiniz.","Hay compatibilidad total para cambiar el idioma de la interfaz del programa y en esta demostración, se puede cambiar entre danesa-Inglés-Alemán-francés-español-turco.","Vi è il supporto completo per la modifica della lingua per l'interfaccia del programma e in questa demo, è possibile passare dalla danese-inglese-tedesco-francese-spagnolo-turco.",
"@Der er ikke angivet provisionssats for nogen ansatte.","Der er ikke angivet provisionssats for nogen ansatte.","There is no set commission rate for any employees.","Es gibt keine feste Provisionssatz für alle Mitarbeiter.","Il n'y a pas de taux de commission fixe pour tous les employés.","Herhangi çalışanlar için belirlenmiş komisyon oranı vardır.","No hay un conjunto tasa de comisión por cualquier empleado.","Non vi è alcun tasso di commissione fisso per tutti i dipendenti.",
"@Der er ikke skriveadgang til kataloget:","Der er ikke skriveadgang til kataloget:","There is no write access to the catalog:","Es gibt keinen Schreibzugriff auf den Katalog:","Il n'y a pas d'accès en écriture au catalogue:","kataloğa hiçbir yazma erişimi yok:","No hay acceso de escritura en el catálogo:","Non vi è alcun accesso in scrittura al catalogo:",
"@Der er ikke styr på ordreliniers data!","Der er ikke styr på ordreliniers data!","There is no track of ordreliniers data!","Es gibt keine Spur von ordreliniers Daten!","Il n'y a aucune trace de données ordreliniers!","ordreliniers veri yok iz yok!","No hay pistas de los datos ordreliniers!","Non vi è alcuna traccia dei dati ordreliniers!",
"@Der skal være skriveadgang til 3 under-mapper:","Der skal være skriveadgang til 3 under-mapper:","There must be write access to the three subfolders:","Es muss Schreibzugriff auf die drei Unterordner sein:","Il doit y avoir un accès en écriture aux trois sous-dossiers:","Üç alt klasörlere yazma erişimi olmalıdır:","Debe haber acceso de escritura a los tres subcarpetas:","Ci deve essere l'accesso in scrittura ai tre sottocartelle:",
"@Dertil svarer at værdier for X skal ligge i intervallet 1 - 210 mm, og Y skal ligge i intervallet 1 - 297 mm","Dertil svarer at værdier for X skal ligge i intervallet 1 - 210 mm, og Y skal ligge i intervallet 1 - 297 mm","Corresponding to values ​​of X must be in the range 1 to 210 mm and Y should be in the range 1-297 mm","auf Werte von X entspricht, muß im Bereich von 1 bis 210 mm und Y im Bereich von 1 bis 297 mm sein sollte,","Correspondant à des valeurs de X doit être dans la plage de 1 à 210 mm et Y doit être dans la gamme 1-297 mm","X değerlerine karşılık gelen aralığı içinde 1 ila 210 mm olmalıdır ve Y aralığı 1-297 mm olmalıdır","En correspondencia con los valores de X debe estar en el rango de 1 a 210 mm e Y debe estar en el rango de 1 a 297 mm","Corrispondenti a valori di X deve essere nella gamma da 1 a 210 mm e Y deve essere nell'intervallo 1-297 mm",
"@Det gøres ved at loggge ind med: ","Det gøres ved at loggge ind med: ","This is done by loggge in with: ","Dies wird durch loggge mit getan: ","Cela se fait par loggge avec: ","Bu ile loggge yapılır: ","Esto se hace por loggge con: ","Questo viene fatto loggge a: ",
"@Det nummer i kontoplanen som salgsmomsen skal konteres på.'); ","Det nummer i kontoplanen som salgsmomsen skal konteres på.'); ","The number in the nomenclature as sales tax is charged on.39. Haga, Skjeberg, Østfold, Norway. ","Die Zahl in der Nomenklatur als Umsatzsteuer berechnet auf.'); ","Le nombre dans la nomenclature que la taxe de vente est prélevée sur.: ","satış vergisi olarak isimlendirme numara tahsil edilir.'); ","El número en la nomenclatura que se cobran impuestos sobre.5 ","Il numero della nomenclatura come imposta sulle vendite è addebitato.'); ",
"@Det nummer i kontoplanen, som købsmomsen skal konteres på.","Det nummer i kontoplanen, som købsmomsen skal konteres på.","The number of the nomenclature, as input VAT should be charged on.","Die Zahl der Nomenklatur, als Vorsteuer sollte berechnet.","Le nombre de la nomenclature, comme la TVA doit être chargée sur.","girdi KDV olarak adlandırılması sayısı, tahsil edilmelidir.","El número de la nomenclatura, como entrada el IVA debe percibirse en.","Il numero della nomenclatura, come input l'IVA deve essere addebitato.",
"@Det nummer i kontoplanen, som salgsmomsen skal konteres på.","Det nummer i kontoplanen, som salgsmomsen skal konteres på.","The number in the chart of accounts, such as sales tax is charged on.","Die Zahl in der Konten, wie Umsatzsteuer berechnet auf.","Le nombre dans le tableau des comptes, tels que la taxe de vente est prélevée sur.","Bu tür satış vergisi gibi hesapları, grafikteki sayısı tahsil edilir.","El número en el catálogo de cuentas, como el impuesto sobre las ventas se cobra sobre.","Il numero nel piano dei conti, come ad esempio l'imposta sulle vendite è addebitato.",
"@Det sprog der skal anvendes ved fakturering","Det sprog der skal anvendes ved fakturering","The language to be used for billing","Die Sprache für die Abrechnung verwendet werden","La langue à utiliser pour la facturation","dil fatura için kullanılacak","El idioma que se utilizará para la facturación","La lingua da utilizzare per la fatturazione",
"@Det sprog der skal anvendes ved kommunikation med kreditoren","Det sprog der skal anvendes ved kommunikation med kreditoren","The language to be used for communication with the vendor","Die Sprache wird für die Kommunikation mit dem Anbieter verwendet","La langue à utiliser pour la communication avec le vendeur","Dil satıcı ile iletişim için kullanılacak","El idioma que se utiliza para la comunicación con el proveedor","La lingua da utilizzare per la comunicazione con il fornitore",
"@Diff. konto","Diff. konto","Diff. account","Diff. Konto","Diff. compte","Diff. hesap","Dif. cuenta","Diff. conto",
"@Dit brugernavn","Dit brugernavn","Your username","Ihr Benutzername","votre nom d'utilisateur","adınızı","su nombre de usuario","il nome utente",
"@Dit","Dit","Your","Ihre","votre","senin","su","la tua",
"@Diverse indstillinger","Diverse indstillinger","Miscellaneous settings","Verschiedene Einstellungen","Divers paramètres","Çeşitli ayarlar","Diversas configuraciones","impostazioni varie",
"@Diverse valg","Diverse valg","diverse choices","vielfältige Auswahl","divers choix","farklı seçenekler","diversas opciones","scelte diverse",
"@DocuBizz import","DocuBizz import","DocuBizz import","DocuBizz Import","DocuBizz import","DocuBizz ithalat","importación DocuBizz","importazione DocuBizz",
"@Drift","Drift","operating","Betriebs-","d'exploitation","işletme","operativo","operativo",
"@Drifts konto","Drifts konto","operating account","Betriebsrechnung","compte d'exploitation","işletme hesabı","cuenta de explotación","conto d'esercizio",
"@Du er havnet i en blindgyde","Du er havnet i en blindgyde","You've arrived at a dead end","Sie haben in einer Sackgasse angekommen","Vous êtes arrivé à une impasse","Sen ölü sonunda geldi ettik","Ha llegado a un punto muerto","Siete arrivati ​​in un vicolo cieco",
"@Du kan kun benytte en af mulighederne ad gangen.","Du kan kun benytte en af mulighederne ad gangen.","You can only use one option at a time.","Sie können nur eine Option zu einem Zeitpunkt verwenden.","Vous ne pouvez utiliser qu'une option à la fois.","Sadece bir defada bir seçeneğini kullanabilirsiniz.","Sólo se puede utilizar una opción a la vez.","È possibile utilizzare una sola opzione alla volta.",
"@Du redigerer","Du redigerer","you edit","Sie bearbeiten","vous modifiez","düzenlemek","edita","si modifica",
"@E-mail","E-mail","Email","E-Mail","Email","E-posta","correo electrónico","E-mail",
"@EAN - E-betalings ID","EAN - E-betalings ID","EAN - E-pay ID","EAN - E-Pay-ID","EAN - E-pay ID","EAN - E-ödemeli kimliği","EAN - E-pago ID","EAN - E-pay ID",
"@EAN","EAN","EAN","EAN","EAN","EAN","EAN","EAN",
"@EU-varemoms","EU-varemoms","EU trade VAT","EU-Handels Mehrwertsteuer","TVA commerciale de l'UE","AB ticaret KDV","IVA comercial de la UE","IVA commerciale dell'UE",
"@E_-moms?","E_-moms?","E_ VAT?","E_ Mehrwertsteuer?","E_ TVA?","E_ KDV?","E_ IVA?","E_ IVA?",
"@Efterkrav","Efterkrav","COD","COD","COD","COD","DQO","COD",
"@Ejer","Ejer","Owner","Inhaber","propriétaire","mal sahibi","propietario","proprietario",
"@Ekstrafelter:","Ekstrafelter:","Additional fields:","Zusätzliche Felder:","Champs supplémentaires:","Ek alanlar:","Los campos adicionales:","campi aggiuntivi:",
"@Elektronisk fakturering","Elektronisk fakturering","electronic billing","elektronische Rechnungsstellung","la facturation électronique","elektronik fatura","facturación electrónica","fatturazione elettronica",
"@Elektronisk forsendelse","Elektronisk forsendelse","electronic transmission","elektronische Übertragung","transmission électronique","elektronik iletim","transmisión electrónica","trasmissione elettronica",
"@Emne","Emne","Subject","Thema","sujet","konu","sujeto","soggetto",
"@En Apatche webserver med PHP skal være i drift.","En Apatche webserver med PHP skal være i drift.","A Apatche web server with PHP should be in operation.","Ein Apatche Webserver mit PHP sollte in Betrieb sein.","Un serveur web avec PHP Apatche devrait être en fonctionnement.","PHP ile Apatche Web sunucusu işleminde olmalıdır.","Un servidor web con PHP Apatche debe estar en funcionamiento.","Un server web Apatche con PHP deve essere in funzione.",
"@En beskrivende tekst efter eget valg","En beskrivende tekst efter eget valg","A descriptive text of your choice","Ein beschreibender Text Ihrer Wahl","Un texte descriptif de votre choix","Seçtiğiniz bir açıklayıcı metin","Un texto descriptivo de su elección","Un testo descrittivo della vostra scelta",
"@En blindgyde endnu!","En blindgyde endnu!","A dead end yet!","Eine Sackgasse noch!","Une impasse encore!","Henüz bir çıkmaz!","Un punto muerto todavía!","ancora un vicolo cieco!",
"@Engelsk pund","Engelsk pund","English pounds","Englisch Pfund","livres anglaises","İngiliz pound","inglés libras","sterline inglesi",
"@Engelsk","Engelsk","English","Englisch","Anglais","İngilizce","Inglés","inglese",
"@Enh...","Enh...","Enh ...","Enh ...","Enh ...","Enh ...","ENH ...","Enh ...",
"@Enhed udfyldes automatisk","Enhed udfyldes automatisk","Unit automatically filled","Einheit automatisch ausgefüllt","Unité rempli automatiquement","Ünite otomatik olarak doldurulur","Unidad completa automáticamente","Unità compilato automaticamente",
"@Enhed","Enhed","Unit","Einheit","unité","birlik","unidad","unità",
"@Enhed.","Enhed.","Unit","Unity.","Unity.","Birlik.","Unidad.","Unità.",
"@Enheder & materialer","Enheder & materialer","Devices & Materials","Geräte und Materialien","Dispositifs et matériaux","Cihazlar ve Malzemeler","Dispositivos y materiales","Dispositivi e materiali",
"@Enheder og materialer: ","Enheder og materialer: ","Devices and materials: ","Geräte und Materialien: ","Appareils et matériaux: ","Cihazlar ve Malzemeler: ","Dispositivos y materiales: ","Dispositivi e materiali: ",
"@Enheder:","Enheder:","units:","Einheiten:","unités:","birimler:","unidades:","unità:",
"@Enheds Priser:","Enheds Priser:","Unit Price:","Stückpreis:","Prix ​​unitaire:","Birim Fiyatı:","Precio por unidad:","Prezzo di unità:",
"@Enheds betegnelse","Enheds betegnelse","Device designation","Gerätebezeichnung","Désignation de l'appareil","cihaz tanımı","denominación del equipo","designazione dispositivo",
"@Enhedsbeskrivelse af mængden","Enhedsbeskrivelse af mængden","Device description of the amount","Gerätebeschreibung des Betrags","Description de l'appareil de la quantité","miktarın Cihaz tanımı","Descripción del equipo de la cantidad","Descrizione dell'apparecchio dell'importo",
"@Enhedsbetegnelse","Enhedsbetegnelse","Unit designation","Typenbezeichnung","Codification","Tip tanımı","designación de modelo","designazione di tipo",
"@Enhedsbetegnelser","Enhedsbetegnelser","Unit Designations","Typenbezeichnungen","Désignations d'unité","birim Tanımları","Designaciones de la unidad","Designazioni di tipo",
