"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Design: ","Design: ","Design:","Design:","conception:","tasarım:","design:","diseño:","Design:"
"@Designet er adaptive, dvs. det tilpasser sig til smallere skærme.","Designet er adaptive, dvs. det tilpasser sig til smallere skærme.","The design is adaptive, i.e., it adapts to smaller screens.","Das Design ist adaptiv, d.h. es passt sich an kleinere Bildschirme.","La conception est adaptative, à savoir, il adapte aux petits écrans.","tasarım, yani adaptif daha küçük ekranlara uyum sağlar.","Projekt jest adaptacyjne, tj dostosowuje się do mniejszych ekranów.","El diseño es adaptativo, es decir, se adapta a las pantallas más pequeñas.","Il disegno è adattivo, cioè, si adatta a schermi più piccoli."
"@Det er blevet simplere for programmøren at tilpasse, rette og vedligeholde programmet. ¤","Det er blevet simplere for programmøren at tilpasse, rette og vedligeholde programmet. ¤","It has become simpler for the programmer to customize, modify and maintain the program. ¤","Es ist einfacher geworden für die Programmierer anzupassen, zu ändern und das Programm erhalten. ¤","Il est devenu plus simple pour le programmeur de personnaliser, modifier et maintenir le programme. ¤","programcı, özelleştirmek değiştirebilir ve programı korumak için daha kolay hale gelmiştir. ¤","Stało się prostsze dla programiście dostosować, modyfikować i utrzymywać program. ¤","Se ha convertido en más fácil para el programador de personalizar, modificar y mantener el programa. ¤","E 'diventato più semplice per il programmatore di personalizzare, modificare e mantenere il programma. ¤"
"@Det gøres ved at loggge ind med: ","Det gøres ved at loggge ind med: ","This is done by loggge in with:","Dies wird durch loggge mit getan:","Cela se fait par loggge avec:","Bu ile loggge yapılır:","Odbywa się to przez loggge się z:","Esto se hace por loggge con:","Questo viene fatto loggge a:"
"@Det kan kun udføres af en system administrator, hos hosting leverandøren.","Det kan kun udføres af en system administrator, hos hosting leverandøren.","It can only be performed by a system administrator, by hosting supplier.","Es kann nur von einem Systemadministrator durchgeführt werden, die von Lieferanten-Hosting.","Elle ne peut être effectuée par un administrateur de système, en accueillant le fournisseur.","Sadece tedarikçisi ev sahipliği yaparak, bir sistem yöneticisi tarafından yapılabilir.","To może być wykonywane tylko przez administratora systemu, poprzez hosting dostawcą.","Sólo puede ser realizada por un administrador del sistema, por proveedor de alojamiento.","Essa può essere eseguita solo da un amministratore di sistema, ospitando il fornitore."
"@Det nummer i kontoplanen som salgsmomsen skal konteres på.'); ","Det nummer i kontoplanen som salgsmomsen skal konteres på.'); ","The number in the nomenclature as sales tax is charged on. ');","Die Zahl in der Nomenklatur als Umsatzsteuer in Rechnung auf. ');","Le nombre dans la nomenclature que la taxe de vente est prélevée sur. ');","satış vergisi olarak isimlendirme numara tahsil edilir. ');","Numer w nomenklaturze jako podatku od sprzedaży jest pobierana. ');","El número en la nomenclatura que se cobran impuestos sobre. ');","Il numero della nomenclatura come imposta sulle vendite è addebitato. ');"
"@Det nummer i kontoplanen, som købsmomsen skal konteres på.","Det nummer i kontoplanen, som købsmomsen skal konteres på.","The number of the nomenclature, as input VAT should be charged on.","Die Zahl der Nomenklatur, als Vorsteuer sollte berechnet.","Le nombre de la nomenclature, comme la TVA doit être chargée sur.","girdi KDV olarak adlandırılması sayısı, tahsil edilmelidir.","Liczbę nomenklatury, jako podatku naliczonego powinna być pobierana.","El número de la nomenclatura, como entrada el IVA debe percibirse en.","Il numero della nomenclatura, come input l'IVA deve essere addebitato."
"@Det nummer i kontoplanen, som salgsmomsen skal konteres på.","Det nummer i kontoplanen, som salgsmomsen skal konteres på.","The number in the chart of accounts, such as sales tax is charged on.","Die Zahl in der Konten, wie Umsatzsteuer berechnet auf.","Le nombre dans le tableau des comptes, tels que la taxe de vente est prélevée sur.","Bu tür satış vergisi gibi hesapları, grafikteki sayısı tahsil edilir.","Numer w planie kont, takich jak podatek od sprzedaży jest pobierana.","El número en el catálogo de cuentas, como el impuesto sobre las ventas se cobra sobre.","Il numero nel piano dei conti, come ad esempio l'imposta sulle vendite è addebitato."
"@Det sprog der skal anvendes ved fakturering","Det sprog der skal anvendes ved fakturering","The language to be used for billing","Die Sprache für die Abrechnung verwendet werden","La langue à utiliser pour la facturation","dil fatura için kullanılacak","Językiem mają być stosowane do rozliczeń","El idioma que se utilizará para la facturación","La lingua da utilizzare per la fatturazione"
"@Det sprog der skal anvendes ved kommunikation med kreditoren","Det sprog der skal anvendes ved kommunikation med kreditoren","The language to be used for communication with the vendor","Die Sprache wird für die Kommunikation mit dem Anbieter verwendet","La langue à utiliser pour la communication avec le vendeur","Dil satıcı ile iletişim için kullanılacak","Językiem używanym w komunikacji z dostawcą","El idioma que se utiliza para la comunicación con el proveedor","La lingua da utilizzare per la comunicazione con il fornitore"
"@Diff. konto","Diff. konto","Diff. account","Diff. Konto","Diff. compte","Diff. hesap","Diff. konto","Dif. cuenta","Diff. conto"
"@Difference konto eksisterer ikke'; ","Difference konto eksisterer ikke'; ","Difference account does not exist ';","Difference Konto existiert nicht "";","compte de la différence n'existe pas ';","Fark hesabı 'yok;","Różnica konto nie istnieje "";","cuenta la diferencia no existe ';","conto differenza non esiste ';"
"@Difference konto for kassedifferencer dagsafslutning.","Difference konto for kassedifferencer dagsafslutning.","Difference account for cash discrepancies daily closure.","Differenzkonto für Kassendifferenzen täglich Schließung.","compte de la différence des écarts de trésorerie de fermeture quotidienne.","Nakit tutarsızlıkları günlük kapatma için fark hesabı.","Konto Różnica rozbieżności pieniężnych codziennie zamknięcia.","cuenta de diferencias de discrepancias en efectivo de cierre diario.","conto differenza per le discrepanze di cassa di chiusura giornaliero."
"@Difference konto skal udfyldes for alle kasser","Difference konto skal udfyldes for alle kasser","Difference account must be completed for all boxes","Differenz-Konto muss für alle Boxen abgeschlossen sein","compte de la différence doit être rempli pour toutes les cases","Fark hesabı tüm kutuları için doldurulmalıdır","Konto Różnica ta musi zostać zakończona do wszystkich skrzynek","cuenta la diferencia debe ser completado para todas las cajas","conto differenza deve essere completato per tutte le caselle"
"@Differencer:","Differencer:","differences:","Unterschiede:","différences:","farklılıklar:","różnice:","diferencias:","differenze:"
"@Diffkto","Diffkto","Diffkto","Diffkto","Diffkto","Diffkto","Diffkto","Diffkto","Diffkto"
"@Dine ændringer er ikke blevet gemt! Tryk OK for at forlade siden uden at gemme.","Dine ændringer er ikke blevet gemt! Tryk OK for at forlade siden uden at gemme.","Your changes have not been saved! Press OK to leave the page without saving.","Ihre Änderungen wurden nicht gespeichert! Drücken Sie auf OK zu verlassen, um die Seite ohne zu speichern.","Vos modifications ne sont pas sauvés! Appuyez sur OK pour quitter la page sans enregistrer.","Yaptığınız değişiklikler kaydedilmedi! OK tuşuna basın kaydetmeden sayfayı terk etmek.","Wprowadzone zmiany nie zostały zapisane! Naciśnij OK, aby opuścić stronę bez zapisywania.","Los cambios no se han guardado! Pulse OK para salir de la página sin guardar.","Le modifiche non sono state salvate! Premere OK per uscire dalla pagina senza salvare."
"@Direkte telefonnummer eller lokalnummer","Direkte telefonnummer eller lokalnummer","Direct phone number or extension","Direkte Telefonnummer oder Verlängerung","numéro de téléphone direct ou l'extension","Direk telefon numarası veya uzantısı","Bezpośredni numer telefonu lub rozbudowa","número de teléfono directo o ampliación","il numero di telefono diretto o estensione"
"@Direkte/lokal","Direkte/lokal","Direct / local","Direkt / local","Direct / local","Yerel / Doğrudan","Bezpośredni / local","Directo / local","Diretta / local"
"@Dit brugernavn","Dit brugernavn","Your username","Ihr Benutzername","votre nom d'utilisateur","adınızı","Twoja nazwa użytkownika","su nombre de usuario","il nome utente"
"@Dit","Dit","Your","Ihre","votre","senin","swój","su","la tua"
"@Diverse indstillinger","Diverse indstillinger","Miscellaneous settings","Verschiedene Einstellungen","Divers paramètres","Çeşitli ayarlar","Różne ustawienia","Diversas configuraciones","impostazioni varie"
"@Diverse valg","Diverse valg","diverse choices","vielfältige Auswahl","divers choix","farklı seçenekler","różne wybory","diversas opciones","scelte diverse"
"@Diverse valg:","Diverse valg:","Various choices:","Verschiedene Möglichkeiten:","Différents choix:","Çeşitli seçenekler:","Różne możliwości:","Varias opciones:","Varie scelte:"
"@Diverse:","Diverse:","Miscellaneous:","Sonstiges:","Divers:","Çeşitli:","Różne:","Varios:","Varie:"
"@DocuBizz import","DocuBizz import","DocuBizz import","DocuBizz Import","DocuBizz import","DocuBizz ithalat","import DocuBizz","importación DocuBizz","importazione DocuBizz"
"@Docubizz er en aplikation til håndtering af indscannede dokumenter. Se mere om denne funktion på www.docubizz.dk","Docubizz er en aplikation til håndtering af indscannede dokumenter. Se mere om denne funktion på www.docubizz.dk","DocuBizz is a aplikation for the handling of scanned documents. See more about this feature on www.docubizz.dk","DocuBizz ist ein Aplikation für die Handhabung von gescannten Dokumenten. Weitere Informationen zu dieser Funktion auf www.docubizz.dk","DocuBizz est un Aplikation pour le traitement des documents numérisés. Voir plus sur cette fonctionnalité sur www.docubizz.dk","DocuBizz taranan belgelerin taşınması için bir aplikation olduğunu. www.docubizz.dk bu özellik hakkında daha fazla bilgi","DocuBizz jest aplikation do obsługi zeskanowanych dokumentów. Zobacz więcej informacji o tej funkcji na www.docubizz.dk","DocuBizz es un aplikation para el manejo de los documentos escaneados. Ver más sobre esta opción en www.docubizz.dk","DocuBizz è un aplikation per la gestione dei documenti acquisiti. Vedi più su questa funzione su www.docubizz.dk"
"@Drift","Drift","operating","Betriebs-","d'exploitation","işletme","operacyjny","operativo","operativo"
"@Drifts konto","Drifts konto","operating account","Betriebsrechnung","compte d'exploitation","işletme hesabı","konto operacyjnego","cuenta de explotación","conto d'esercizio"
"@Du er havnet i en blindgyde","Du er havnet i en blindgyde","You've arrived at a dead end","Sie haben in einer Sackgasse angekommen","Vous êtes arrivé à une impasse","Sen ölü sonunda geldi ettik","Po przyjeździe w ślepy zaułek","Ha llegado a un punto muerto","Siete arrivati ​​in un vicolo cieco"
"@Du kan formattere teksterne med html-koder","Du kan formattere teksterne med html-koder","You can format the text with html codes","Sie können den Text formatieren mit HTML-Codes","Vous pouvez formater le texte avec les codes html","Html kodları ile metni biçimlendirebilirsiniz","Możesz formatować tekst za pomocą kodów html","Puede dar formato al texto con los códigos html","È possibile formattare il testo con i codici html"
"@Du kan kun benytte en af mulighederne ad gangen.","Du kan kun benytte en af mulighederne ad gangen.","You can only use one option at a time.","Sie können nur eine Option zu einem Zeitpunkt verwenden.","Vous ne pouvez utiliser qu'une option à la fois.","Sadece bir defada bir seçeneğini kullanabilirsiniz.","Można używać tylko jednej opcji na raz.","Sólo se puede utilizar una opción a la vez.","È possibile utilizzare una sola opzione alla volta."
"@Du kan nu se, hvilke tekster (Felter med skygge), der har hjælpetekster tilknyttet.","Du kan nu se, hvilke tekster (Felter med skygge), der har hjælpetekster tilknyttet.","You can now see which texts (Fields with shade) with help texts associated.","Sie können nun, welche Texte (Felder mit Schatten) mit Hilfetexte zugeordnet sind.","Vous pouvez maintenant voir quels textes (champs à l'ombre) avec des textes d'aide associés.","Artık ilişkili yardım metinleri ile (gölge ile Fields) metinleri görebilirsiniz.","Teraz można zobaczyć, które teksty (Pola w cieniu) z tekstami pomocy związanych.","Ahora puede ver que los textos (Los campos con sombra) con textos de ayuda asociados.","Ora è possibile vedere quali testi (I campi con ombra) con testi di aiuto associati."
"@Du kan også vælge selv at sætte en ftp-server op til formålet eller benytte en eksisterende. Det koster ikke noget, når du gør det selv.","Du kan også vælge selv at sætte en ftp-server op til formålet eller benytte en eksisterende. Det koster ikke noget, når du gør det selv.","You can also choose to put an ftp server up for the purpose or use an existing one. It costs nothing when you do it yourself.","Sie können auch einen FTP-Server zu setzen für den Zweck wählen oder eine vorhandene verwenden. Es kostet nichts, wenn Sie es selbst tun.","Vous pouvez également choisir de mettre un serveur ftp à cet effet ou utiliser un existant. Il ne coûte rien quand vous le faites vous-même.","Ayrıca amaç için bir ftp sunucusu koymak veya mevcut birini kullanmayı tercih edebilirsiniz. Bu kendiniz yapmak hiçbir maliyeti.","Można również zdecydować się umieścić na serwerze FTP w innym celu lub użyć istniejącego. To nic nie kosztuje, gdy robisz to sam.","También puede optar por poner un servidor ftp para el propósito o usar una existente. No cuesta nada cuando lo hace usted mismo.","Si può anche scegliere di mettere un server ftp per lo scopo o utilizzarne uno esistente. Non costa nulla quando lo fate voi stessi."
"@Du kan se eksempler på: ","Du kan se eksempler på: ","You can see examples of:","Sie können Beispiele finden Sie unter:","Vous pouvez voir des exemples de:","Sen örnekler görebilirsiniz:","Można zobaczyć przykłady:","Se puede ver ejemplos de:","È possibile vedere esempi di:"
"@Du kan vælge at lade SALDI.dk opbevare dine scannede bilag for kr. 30,- pr. måned pr. GB. Enhedsprisen følger dags-prisen for 1 ekstra bruger.","Du kan vælge at lade SALDI.dk opbevare dine scannede bilag for kr. 30,- pr. måned pr. GB. Enhedsprisen følger dags-prisen for 1 ekstra bruger.","You can choose to let SALDI.dk store your scanned documents for kr. 30, - pr. month per. GB. The unit price follows the fair price for 1 additional user.","Sie können wählen, SALDI.dk speichern Sie Ihre gescannten Dokumente für kr lassen 30, -. Pr. Monat pro. GB. Der Einheitspreis folgt dem fairen Preis für 1 zusätzliche Benutzer.","Vous pouvez choisir de laisser SALDI.dk stocker vos documents numérisés pour € 30, -. Pr. mois par. GB. Le prix unitaire suit le juste prix pour 1 utilisateur supplémentaire.","Sen SALDI.dk kr için taranan belgeleri saklamak izin seçebilirsiniz 30, -. Pr. ay başına. GB. birim fiyat 1 ek kullanıcı için uygun fiyat izler.","Można wybrać pozwolić SALDI.dk zapisywać zeskanowane dokumenty zł 30, -. pr. miesiąc za. GB. Cena jednostkowa podąża za uczciwą cenę za 1 dodatkowego użytkownika.","Usted puede optar por dejar que SALDI.dk almacenar los documentos escaneados para KR 30, -. Pr. mes por. GB. El precio unitario sigue el precio justo por 1 usuario adicional.","È possibile scegliere di lasciare SALDI.dk memorizzare i documenti scansionati per € 30, -. Pr. mese per. GB. Il prezzo unitario segue il giusto prezzo per 1 utente aggiuntivo."
"@Du redigerer nu: ","Du redigerer nu: ","You are editing now:","Sie bearbeiten jetzt:","Vous modifiez maintenant:","Artık düzenliyorsunuz:","Edytujesz teraz:","Que está editando ahora:","Si sta modificando la società:"
"@E-mail / brug mail","E-mail / brug mail","E-mail / use mail","E-Mail / Nutzung Mail","E-mail / utilisation électronique","E-posta / araç kullanımı posta","E-mail / korzystania z poczty","E-mail / correo de uso","E-mail / uso di posta"
"@E-mail","E-mail","Email","E-Mail","Email","E-posta","E-mail","correo electrónico","E-mail"
"@E-mail/brug","E-mail/brug","E-mail / use","E-Mail / Nutzung","E-mail / utilisation","E-posta / araç kullanımı","E-mail / zastosowanie","E-mail / uso","E-mail / uso"
"@EAN - E-betalings ID","EAN - E-betalings ID","EAN - E-pay ID","EAN - E-Pay-ID","EAN - E-pay ID","EAN - E-ödemeli kimliği","EAN - E-pay ID","EAN - E-pago ID","EAN - E-pay ID"
"@EAN","EAN","EAN","EAN","EAN","EAN","EAN","EAN","EAN"
"@EAN-nr.","EAN-nr.","EAN no.","EAN-Nr.","EAN pas.","hayır EAN.","EAN nr.","EAN no.","EAN no."
"@EU-varemoms","EU-varemoms","EU trade VAT","EU-Handels Mehrwertsteuer","TVA commerciale de l'UE","AB ticaret KDV","VAT UE handlu","IVA comercial de la UE","IVA commerciale dell'UE"
"@E_-moms?","E_-moms?","E_ VAT?","E_ Mehrwertsteuer?","E_ TVA?","E_ KDV?","E_ VAT?","E_ IVA?","E_ IVA?"
"@Ean","Ean","Ean","Ean","Ean","Ean","EAN","ean","Ean"
"@Efterkrav","Efterkrav","COD","COD","COD","COD","COD","DQO","COD"
"@Efternavn","Efternavn","Surname","Nachname","nom de famille","soyadı","nazwisko","apellido","cognome"
"@Egen FTP-server","Egen FTP-server","Own FTP server","Eigene FTP-Server","serveur FTP propre","Kendi FTP sunucusu","Własny serwer FTP","servidor FTP propio","Proprio server FTP"
"@Ejer","Ejer","Owner","Inhaber","propriétaire","mal sahibi","właściciel","propietario","proprietario"
"@Eksportér Debitorer/Kreditorer","Eksportér Debitorer/Kreditorer","Export Customers / Vendors","Export Debitoren / Kreditoren","Export Clients / fournisseurs","İhracat Müşteriler / Satıcılar","Klientów eksportowych / Sprzedawcy","Exportación Clientes / Proveedores","Esportazione Clienti / fornitori"
"@Eksportér Formularer","Eksportér Formularer","Export Forms","Export Forms","Formulaires d'exportation","ihracat Formları","Formy Eksport","Formas de exportación","Forme Export"
"@Eksportér Varer","Eksportér Varer","Export Goods","Exportgüter","Les marchandises à l'exportation","ihracat Ürünler","Towary eksportowe","Las mercancías de exportación","merci di esportazione"
"@Eksportér Variantvarer","Eksportér Variantvarer","Export Variant Products","Export Variant Produkte","Export Variant Produits","İhracat Varyant Ürünleri","Produkty eksportowe Variant","Exportar productos con variantes","Export Variant Prodotti"
"@Eksportér kontoplan","Eksportér kontoplan","Export accounts","Export-Konten","comptes à l'exportation","ihracat hesapları","rachunki eksportu","cuentas de exportación","conti Export"
"@Eksportér","Eksportér","Export","Export","exportation","ihracat","eksport","exportación","esportazione"
"@Eksportér: Den aktive kontoplan!","Eksportér: Den aktive kontoplan!","Export: The active accounts!","Export: Die aktiven Konten!","Export: Les comptes actifs!","İhracat: Aktif hesaplar!","Eksport: Aktywne konta!","Exportación: Las cuentas activas!","Export: I conti attivi!"
"@Ekstern webshop","Ekstern webshop","external webshop","externen Webshop","webshop externe","dış webshop","zewnętrzne sklep","tienda web externa","webshop esterna"
"@Ekstrafelt 1","Ekstrafelt 1","Additional Field 1","Weitere Feld 1","Champ supplémentaire 1","Ek Alan 1","Dodatkowe pole 1","El campo adicional 1","Campo aggiuntivo 1"
"@Ekstrafelt 2","Ekstrafelt 2","Additional Field 2","Weitere Feld 2","Champ supplémentaire 2","Ek Alan 2","Dodatkowe pole 2","El campo adicional 2","Campo Ulteriori 2"
"@Ekstrafelt 3","Ekstrafelt 3","Additional Field 3","Weitere Feld 3","Champ supplémentaire 3","Ek Alan 3","Dodatkowe pole 3","El campo adicional 3","Campo Ulteriori 3"
"@Ekstrafelt 4","Ekstrafelt 4","Additional Field 4","Weitere Feld 4","Champ complémentaire 4","Ek Alan 4","Dodatkowe pole 4","El campo adicional 4","Campo Ulteriori 4"
"@Ekstrafelt 5","Ekstrafelt 5","Additional Field 5","Weitere Feld 5","Champ supplémentaire 5","Ek Alan 5","Dodatkowe pole 5","El campo adicional 5","Campo Ulteriori 5"
"@Ekstrafelter","Ekstrafelter","additional fields","zusätzliche Felder","champs supplémentaires","ek alanları","dodatkowe pola","campos adicionales","campi aggiuntivi"
"@Ekstrafelter:","Ekstrafelter:","Additional fields:","Zusätzliche Felder:","Champs supplémentaires:","Ek alanlar:","Dodatkowe pola:","Los campos adicionales:","campi aggiuntivi:"
"@Elektronisk fakturering","Elektronisk fakturering","electronic invoicing","elektronische Rechnungsstellung","la facturation électronique","elektronik fatura","elektronicznego fakturowania","facturación electrónica","fatturazione elettronica"
"@Elektronisk fakturering. Send og modtag e-faktura med ebconnect. Send direkte fra økonomisystemet og overfør til kassekladden - klar til bogføring","Elektronisk fakturering. Send og modtag e-faktura med ebconnect. Send direkte fra økonomisystemet og overfør til kassekladden - klar til bogføring","Electronic invoicing. Send and receive e-invoice with ebconnect. Send directly from the ERP system and transfer to the journal - ready for booking","Elektronische Abrechnung. Senden und Empfangen von E-Rechnung mit ebconnect. Senden Sie direkt aus dem ERP-System und Transfer in der Zeitschrift - bereit für die Buchung","La facturation électronique. Envoyer et recevoir des e-facture avec ebconnect. Envoyer directement à partir du système ERP et de transférer à la revue - prêt pour la réservation","Elektronik fatura. Gönder ve ebconnect e-fatura alırsınız. ERP sisteminden doğrudan göndermek ve dergi transfer - Rezervasyon için hazır","Elektroniczne fakturowanie. Wysyłać i odbierać wiadomości e-faktura z ebconnect. Wyślij bezpośrednio z systemu ERP i przenieść do dziennika - gotowe do rezerwacji","La facturación electrónica. Enviar y recibir e-factura con ebconnect. Enviar directamente del sistema ERP y la transferencia a la revista - listo para reservar","fatturazione elettronica. Inviare e ricevere e-fattura con ebconnect. Invia direttamente dal sistema ERP e trasferire alla rivista - pronto per la prenotazione"
"@Elektronisk forsendelse","Elektronisk forsendelse","electronic transmission","elektronische Übertragung","transmission électronique","elektronik iletim","transmisja elektroniczna","transmisión electrónica","trasmissione elettronica"
"@Email adresse","Email adresse","Email address","E-Mail","Email","E-posta","E-mail","correo electrónico","E-mail"
"@Email","Email","Email","E-Mail","Email","E-posta","E-mail","correo electrónico","E-mail"
"@Emne og tekst til brug ved udsendelse som e-mail","Emne og tekst til brug ved udsendelse som e-mail","Subject and text for use by sending e-mail","Betreff und Text für die Verwendung von E-Mail-Versand","Objet du texte et pour une utilisation par l'envoi d'e-mail","e-posta göndererek tarafından kullanılmak üzere Konusu ve metin","Temat i tekst do użytku poprzez wysłanie wiadomości e-mail","asunto y el texto para su uso mediante el envío de correo electrónico","testo dell'oggetto e per l'uso con l'invio di e-mail"
"@Emne","Emne","Subject","Thema","sujet","konu","przedmiot","sujeto","soggetto"
"@En Apatche webserver med PHP skal være i drift.","En Apatche webserver med PHP skal være i drift.","A Apatche web server with PHP should be in operation.","Ein Apatche Webserver mit PHP sollte in Betrieb sein.","Un serveur web avec PHP Apatche devrait être en fonctionnement.","PHP ile Apatche Web sunucusu işleminde olmalıdır.","Serwer WWW Apatche PHP powinien być w pracy.","Un servidor web con PHP Apatche debe estar en funcionamiento.","Un server web Apatche con PHP deve essere in funzione."
"@En beskrivende tekst efter eget valg","En beskrivende tekst efter eget valg","A descriptive text of your choice","Ein beschreibender Text Ihrer Wahl","Un texte descriptif de votre choix","Seçtiğiniz bir açıklayıcı metin","Opisowy tekst wyboru","Un texto descriptivo de su elección","Un testo descrittivo della vostra scelta"
"@En blindgyde endnu!","En blindgyde endnu!","A dead end yet!","Eine Sackgasse noch!","Une impasse encore!","Henüz bir çıkmaz!","Martwe jeszcze koniec!","Un punto muerto todavía!","ancora un vicolo cieco!"
"@En komplet backup, skal omfatte den totale database, og samtlige filer i systemets mapper.","En komplet backup, skal omfatte den totale database, og samtlige filer i systemets mapper.","A complete backup must include the total database and all files in the system folders.","Eine vollständige Sicherung muss die gesamte Datenbank und alle Dateien in den Systemordner enthalten.","Une sauvegarde complète doit inclure la base de données totale et tous les fichiers dans les dossiers système.","Tam bir yedekleme toplam veritabanı ve sistem klasörlerindeki tüm dosyaları içermelidir.","Pełna kopia zapasowa musi zawierać całkowitą bazę danych i wszystkie pliki w folderach systemowych.","Una copia de seguridad completa debe incluir la base de datos total y todos los archivos en las carpetas del sistema.","Un backup completo deve includere il database totale e tutti i file nelle cartelle di sistema."
"@Engelsk pund","Engelsk pund","English pounds","Englisch Pfund","livres anglaises","İngiliz pound","angielskie funty","inglés libras","sterline inglesi"
"@Engelsk","Engelsk","English","Englisch","Anglais","İngilizce","angielski","Inglés","inglese"
"@Engros salgspris","Engros salgspris","wholesale sales price","Großhandel Verkaufspreis","prix de vente en gros","toptan satış fiyatı","cena sprzedaży hurtowej","precio de venta al por mayor","prezzo di vendita all'ingrosso"
"@Enh...","Enh...","Enh ...","Enh ...","Enh ...","Enh ...","Enh ...","ENH ...","Enh ..."
"@Enh./mat.","Enh./mat.","Enh./mat.","Enh./mat.","Enh./mat.","Enh./mat.","Enh./mat.","Enh./mat.","Enh./mat."
"@Enhed udfyldes automatisk","Enhed udfyldes automatisk","Unit automatically filled","Einheit automatisch ausgefüllt","Unité rempli automatiquement","Ünite otomatik olarak doldurulur","Urządzenie automatycznie wypełnione","Unidad completa automáticamente","Unità compilato automaticamente"
"@Enhed","Enhed","Unit","Einheit","unité","birlik","jedność","unidad","unità"
"@Enhed.","Enhed.","Unit.","Unity.","Unity.","Birlik.","Unity.","Unidad.","Unità."
"@Enheder & materialer","Enheder & materialer","Devices & Materials","Geräte und Materialien","Dispositifs et matériaux","Cihazlar ve Malzemeler","Urządzenia i materiały","Dispositivos y materiales","Dispositivi e materiali"
"@Enheder og materialer: ","Enheder og materialer: ","Devices and materials:","Geräte und Materialien:","Appareils et matériaux:","Cihazlar ve Malzemeler:","Sprzęt i materiały:","Dispositivos y materiales:","Dispositivi e materiali:"
"@Enheder:","Enheder:","units:","Einheiten:","unités:","birimler:","jednostki:","unidades:","unità:"
"@Enheds Priser:","Enheds Priser:","Unit Price:","Stückpreis:","Prix ​​unitaire:","Birim Fiyatı:","Cena za sztukę:","Precio por unidad:","Prezzo di unità:"
"@Enheds betegnelse","Enheds betegnelse","Device designation","Gerätebezeichnung","Désignation de l'appareil","cihaz tanımı","oznaczenie urządzenia","denominación del equipo","designazione dispositivo"
"@Enhedsbeskrivelse af mængden","Enhedsbeskrivelse af mængden","Device description of the amount","Gerätebeschreibung des Betrags","Description de l'appareil de la quantité","miktarın Cihaz tanımı","Opis urządzenia kwoty","Descripción del equipo de la cantidad","Descrizione dell'apparecchio dell'importo"
"@Enhedsbetegnelse","Enhedsbetegnelse","Unit designation","Typenbezeichnung","Codification","Tip tanımı","oznaczenie typu","designación de modelo","designazione di tipo"
"@Enhedsbetegnelser","Enhedsbetegnelser","Unit Designations","Typenbezeichnungen","Désignations d'unité","birim Tanımları","Oznaczenia jednostkowe","Designaciones de la unidad","Designazioni di tipo"
"@Enhedspris","Enhedspris","Unit price","Stückpreis","Prix ​​unitaire","birim fiyatı","cena jednostkowa","precio por unidad","prezzo unitario"
"@Entydig nummerkode..","Entydig nummerkode..","The unique number code ..","Die eindeutige Nummer Code ..","Le code de numéro unique ..","benzersiz bir numara kodu ..","Unikalny numer kodu ..","El código de número único ..","Il codice di numero unico .."
"@Entydig systemindex, som benyttes af systemet,","Entydig systemindex, som benyttes af systemet,","Unique index system that is used by the system,","Eindeutigen Indexsystem, das durch das System verwendet wird,","Système d'index unique qui est utilisé par le système,","sistem tarafından kullanılan benzersiz bir dizin sistemi,","Unikalny system indeksu, który jest używany przez system,","sistema de índice único que se utiliza por el sistema,","sistema di indice univoco utilizzato dal sistema,"
"@Entydigt systemindex, som benyttes af systemet,","Entydigt systemindex, som benyttes af systemet,","Unique index system that is used by the system,","Eindeutigen Indexsystem, das durch das System verwendet wird,","Système d'index unique qui est utilisé par le système,","sistem tarafından kullanılan benzersiz bir dizin sistemi,","Unikalny system indeksu, który jest używany przez system,","sistema de índice único que se utiliza por el sistema,","sistema di indice univoco utilizzato dal sistema,"
"@Entydigt varenummer","Entydigt varenummer","Unique Item","Einzigartig","unique Item","benzersiz Öğe","Wyjątkowa pozycja","artículo único","Articolo unico"
"@Er Faktureret og låst","Er Faktureret og låst","Is Billed and locked","Ist Angekündigt und gesperrt","Est facturé et verrouillé","Faturalı ve kilitlenir","Jest zapowiadane i zablokowane","Se factura y bloqueado","Viene fatturato e bloccato"
"@Er både DB-MySql og PHP-mysqli installeret?","Er både DB-MySql og PHP-mysqli installeret?","Are both DB-MySql and PHP mysqli installed?","Sind beide DB-MySQL- und PHP mysqli installiert?","Sont à la fois DB-MySql et PHP mysqli installés?","DB MySql ve PHP yüklü MySQLi mı?","Są zarówno DB-MySQL i PHP mysqli zainstalowane?","Mysqli están instalados tanto DB-MySQL y PHP?","Sono entrambi DB-MySQL e PHP MySQLi installati?"
"@Er både DB-postgres og PHP-pgsql installeret?","Er både DB-postgres og PHP-pgsql installeret?","Are both DB-postgres and PHP-pgsql installed?","Sind beide DB-Postgres und PHP-pgsql installiert?","Sont les deux DB-postgres et PHP-pgsql installés?","DB-postgres ve PHP-pgsql hem yüklü?","Są zarówno DB-PostgreSQL i PHP-pgsql zainstalowane?","Se instalan ambos DB-postgres y PHP-pgsql?","Sono entrambi DB-postgres e PHP-pgsql installati?"
